id,question,answer_A,answer_B,answer_C,answer_D,answer_E
0,"Among the following biological signs, which one(s) would indicate iatrogenic adrenal insufficiency in a 38-year-old patient with a history of Crohn's disease treated for 5 years with 10 mg/day of prednisone?","Serum sodium at 128 mmol/L,","Serum potassium at 5.8 mmol/L,","Fasting blood glucose at 3 mmol/L,","Plasma ACTH at 8 hours at 585 pg/ml (n: 10 – 20),",Urinary free cortisol at 25 µg/24 hours (n: < 90)
0,You see in consultation a 15-day-old newborn who presents with an isolated fever of 38.2°C and a preserved general condition,You reassure the parents about the benign nature of this fever during viral epidemics,The flu test is not informative at this age,The urine dipstick is not informative at this age,Performing a urine culture is systematic,Performing a lumbar puncture is systematic
0,"Devant une lésion de la langue, quel(s) est(sont) le(s) signe(s) clinique(s) qui orientera (orienteront) vers une origine maligne ?","Lésion indurée, Lésion douloureuse, Saignement au contact lors de la palpation de la lésion, Induration sous muqueuse, Présence d’une leucoplasie associée",,,,
0,You are called to the home of an infant found deceased by the parents a few minutes ago:,"You request to be accompanied by the police,","You should not sign the death certificate before admission to the hospital,","You write a report to the public prosecutor,","You propose to the parents to perform an autopsy to determine the cause of death,",The transfer of the body should be to a medico-legal institute
0,You explain to young parents whose child is experiencing their first febrile episode the measure(s) to take during this episode.,"Medical treatment is necessary for any temperature above 39°C,","Drinking fluids is necessary every hour as long as the fever persists,","Cool wraps should be used if the child is uncomfortable,","The use of ibuprofen is only possible after 3 months,",The child should be kept away from groups during the duration of the fever
0,"Concernant les tuméfactions cervicales, quel(s) est(sont) le(s) item(s) exact(s) ?",- A thyroglossal duct cyst is mobile during swallowing,- A right supraclavicular adenopathy can be indicative of a genitourinary cancer,- A superficial tumefaction that is resistant and located at the anterior border of the sternocleidomastoid muscle is suggestive of a branchial cleft cyst,- A schwannoma of the brachial plexus is a differential diagnosis of a submandibular adenopathy,- A schwannoma of the accessory nerve is a differential diagnosis of a spinal adenopathy
0,"Concernant le phlegmon péri-amygdalien, quel(s) est(sont) le(s) item(s) exact(s) ?,","The abscess is located in the lateral pharyngeal space,","Trismus may be present,","The anterior pillar of the soft palate is enlarged,","In adults, hospitalization is systematic,",Drainage of the abscess is done either by aspiration or incision under general anesthesia
0,"Concernant le vertige positionnel paroxystique bénin, quel(s) est(sont) le(s) item(s) exact(s) ?,","It lasts less than a minute,","It is consequent to vestibular ischemia,","It is treated with vestibular physiotherapy,","It is associated with tinnitus,",There is a positional triggering factor
0,"A 32-year-old patient presents to the emergency department with asthenia. There are no other abnormalities on physical examination. Biological tests reveal an increase in transaminases with AST=1362 UI (N<40), ALT=2348 UI (N<40). What is (are) the possible cause(s) of this increase in transaminases?",Acute viral hepatitis,Acute alcoholic hepatitis,Drug-induced hepatitis,Autoimmune hepatitis,Cannabis-related hepatitis
0,"A 62-year-old patient presents with progressive hyponatremia. He appears clinically euvolemic. His blood test results are as follows: Na 125 mmol/L, K 4 mmol/L, chloride 110 mmol/L, HCO3- 25 mmol/L, glucose 5 mmol/L, proteins 67 g/L, urea 4 mmol/L, creatinine 78 µmol/L. Urine test results: Na 100 mmol/L, K 25 mmol/L, urea 350 mmol/L, creatinine 8 mmol/L. What is (are) the possible cause(s) of this clinical picture? (One or more correct answers) ?",Tea and toast syndrome,Furosemide intake,Syndrome of inappropriate antidiuretic hormone secretion,Amlodipine intake,Lithium intake
0,"An 86-year-old patient is hospitalized for hematemesis. He is known to have untreated viral hepatitis B. His family describes vomiting blood equivalent in volume to that of a basin. On examination, he presents with ascites and asterixis. Systolic blood pressure is 55 mmHg. Among the following elements, which one(s) is (are) associated with a poor prognosis?","Age,","Volume of hematemesis,","Blood pressure,","Presence of hepatic encephalopathy,",Presence of ascites
0,"A 62-year-old patient presents with the following biological profile: Na 142 mmol/L, K 5.7 mmol/L, Chloride 110 mmol/L, HCO3- 18 mmol/L, Proteins 88 g/L, Urea 20 mmol/L, Creatinine 170 µmol/L. Which medication(s) can cause this biological profile? (One or more correct answers)",Ibuprofen,Candesartan,Amiloride,Amlodipine,Prednisone
0,"You are managing a 67-year-old patient in the emergency department who presents with right calf pain. The history and physical examination reveal an active cancer under treatment and localized sensitivity along the deep venous network on the right. The rest of the examination is unremarkable. You use a simplified clinical prediction model for deep vein thrombosis (DVT) which indicates a 17% probability of DVT. You request a venous Doppler ultrasound of the lower limbs to confirm this suspicion of DVT. Among the following statements, which one(s) is (are) correct?",The post-test probability of DVT depends on the sensitivity of the venous Doppler ultrasound.,The pre-test probability of DVT depends on the specificity of the venous Doppler ultrasound.,The post-test probability of DVT depends on the likelihood ratio of the venous Doppler ultrasound.,The post-test probability of DVT depends on the intrinsic performance of the venous Doppler ultrasound.,The post-test probability of DVT can be determined graphically using the Fagan nomogram.
0,"A 43-year-old patient presents with moderate hyperferritinemia at 2 times the normal level, discovered during a routine work-up performed by occupational medicine. He is asymptomatic. Which element(s) would suggest metabolic hepatosiderosis?",Elevated transferrin saturation coefficient,Overweight,Hypertriglyceridemia,Basedow's disease,History of colon cancer
0,"Question: When faced with sigmoid diverticulitis, an injected abdomino-pelvic CT scan is performed. It can show (one or more correct answers):",- Images of additional air at the anti-mesenteric border of the colon,- Thinning of the colonic wall,- Fat infiltration around a diverticulum,- Thickening of the colonic wall,- Pylephlebitis
0,In which situation(s) does a patient benefit from an exemption from the co-payment (based on social security rates)?,"The care of minor children, whatever it may be","The care, whatever it may be, of subjects benefiting from state medical aid (ame)","The care, whatever it may be, of pregnant women from the 4th month of pregnancy",The performance of a mammogram in a 54-year-old woman as part of the national breast cancer screening program,"Additional examinations, outside the usual coverage, performed as part of participation in a randomized trial"
0,"A 48-year-old patient has been experiencing headaches for a few weeks, leading to a diagnosis of hypertension. The average of his ambulatory blood pressures is 177/92 mmHg. His biological assessment is as follows: Na 142 mmol/L, K 3.4 mmol/L, creatinine 70 µmol/L, calcium 2.5 mmol/L. 24-hour urine output: 1400 mL. Urine electrolytes: Na=180 mmol/L, K=50 mmol/L, proteinuria <0.01g/L. Based on this assessment, which cause(s) should you consider for this hypertension?",Renal artery stenosis,Gitelman syndrome,Primary hyperaldosteronism,Chronic licorice consumption,Pheochromocytoma
0,"Question: Which tumor marker is of interest in both screening, diagnosis, prognosis, and monitoring of the specific cancer it is associated with? (1 answer)","Ace, Psa, Alpha fp, Hcg, Ca125",,,,
0,"Under the law of February 2, 2016, known as the ""Claeys-Leonetti"" law, when a patient can no longer express themselves, a treatment that appears futile, disproportionate, or has no other effect than the mere artificial maintenance of life, may be suspended following a collegial procedure defined by regulatory means. Which element(s) is/are provided for in this procedure?,","Consultation of advance directives if they exist,","The opinion of at least one consulting physician,","A discussion with the present members of the care team,","Informing the on-call director if this procedure takes place on the weekend,",The decision must be recorded in the medical file
0,"Which method(s) is the evaluation of the qualitative dimension of pain based on?, Questionnaire dn4, Questionnaire doloplus, Algoplus scale, Visual analog scale, Numeric scale",,,,,
0,Question: By which therapeutic means can neuropathic pain be managed as a first-line treatment?,"A tricyclic antidepressant,","An antiepileptic of the gabapentinoid class,","Morphine,","Transcutaneous electrical nerve stimulation,",Spinal cord stimulation
0,A 55-year-old patient is being cared for in a palliative care unit for end-stage respiratory failure complicating severe emphysema. Their main complaint is an increase in dyspnea. How should this dyspnea be managed? (One or more correct answers),"Evaluation of the symptom using a visual analog scale,","Adjustment of the oxygen therapy flow rate so that arterial oxygen saturation is above 95%,","Introduction or increase of opioid treatment,","Comfortable positioning of the patient,",Immediate deep and continuous sedation until death
0,A bariatric surgery such as sleeve gastrectomy can be proposed (one or more correct answers):,"In adolescents from 15 years old if the BMI is greater than 40 kg/m2,","In a 55-year-old individual with sleep apnea, having a BMI ≥ 35 kg/m2,","In case of severe eating disorders,","If the individual has understood and accepted the lifelong post-operative medical and surgical follow-up,",If the patient has received clear and complete information about the surgical risks
0,"A 52-year-old patient with no significant medical history presents with hypertension, proteinuria of 2 g/24h, hematuria with 105 red blood cells/ml, and a creatinine level of 130 µmol/l. His renal ultrasound is normal. Here is the report of his renal biopsy: cortical fragment containing 15 glomeruli, including 4 sclerotic glomeruli. The permeable glomeruli show mesangial and endocapillary proliferation. Moderate arteriolosclerosis lesions. Tubular atrophy and interstitial fibrosis lesions affecting approximately 20% of the parenchyma. Immunofluorescence reveals IgA deposits at +++ in the mesangium and C3 at 1+ in the vessels and glomeruli. What is (are) the possible diagnosis(es)?","Tubulo-interstitial nephropathy,","Lupus nephritis class IV,","Pauci-immune glomerulonephritis,","IgA nephropathy,",Nephroangiosclerosis
0,What are the elements that suggest a professional origin of allergic contact eczema in a plastics worker involved in the manufacture of pleasure boats (one or more answers possible)?,"The symptomatology that improves during vacations,","A location of lesions on the back of the hands and wrists,","The presence of several simultaneous cases in the same workshop,","A history of atopy in childhood,",The presence of lesions on the eyelids
0,"As a young general practitioner, you are seeing a 52-year-old patient for the first time who complains of insomnia, anxious ruminations, loss of vitality, and disengagement from family and professional life. He indicates that his symptoms started 6 months ago, following the arrival of a new team leader who constantly makes remarks about his slowness at work and his lack of intellectual abilities. He even reports being insulted by his boss on several occasions when they were alone. This patient has no notable medical history, except for a reactive depression following a divorce 10 years ago. The patient asks you to make a declaration of occupational illness. What should you indicate on the initial medical certificate?","The existence of a depressive syndrome,","The date on which you first observed the pathology,","The history of depressive syndrome,","The existence of harassment by a colleague,",The name of the department head
0,"A 12-year-old patient is admitted to the pediatric emergency department for meningeal syndrome. He is placed in an examination room by a nursing assistant and the nurse comes to take his temperature and blood pressure. The intern then examines the child and suspects an invasive meningococcal infection, which is confirmed by CSF analysis (meningococcus C). The nurse, who is 30 years old, comes to see the intern and expresses concern because she is pregnant and asks what she should do since she cared for the child without a mask and is not vaccinated against meningococcus. What measure(s) should be proposed to her?","Vaccination with the conjugate vaccine against meningococcus C,","Prophylaxis with oral rifampicin for 5 days,","Prophylaxis with oral rifampicin for 2 days,","Reassure her and indicate that there is no risk of contamination,",Prophylaxis with an injection of ceftriaxone
0,What hygiene measures should be taken upon entering the room for the care of a patient with pulmonary tuberculosis?,"Port d’une casaque à manche longue,","Wearing a respiratory protection mask (type ffp2),","Wearing a hairnet,","Wearing shoe covers,",Hand rubbing with an alcohol-based solution
0,What are the mandatory vaccinations for a nurse working in a hospital care unit (one or more answers possible)?,"Vaccination against pneumococcus,","Vaccination against diphtheria, tetanus, and poliomyelitis,","Vaccination against hepatitis A,","Vaccination against pertussis,",Vaccination against hepatitis B
0,"Regarding acute peritonitis, which statement(s) do you retain?",The abdominal CT scan is the reference morphological examination for diagnosis,Surgical treatment should include lavage of the peritoneal cavity,"The 3 most common causes are appendicitis, gastroduodenal ulcer, colonic diverticulum",The evolutionary risk of peritonitis is septic shock,Peritonitis is always related to a digestive perforation
0,"Regarding acute intestinal obstruction, which of the following statements is/are correct?","A functional obstruction can be caused by an electrolyte imbalance,","A peritoneal adhesion can cause a strangulated obstruction,","A strangulated obstruction threatens the viability of the intestine within a few hours,","Abdominal CT scan with contrast injection is the reference examination,",Colon cancer is the leading cause of obstructive colonic obstruction
0,Regarding bowel obstruction syndrome: (one or more correct answers),"The absence of bowel movements is a physical sign absent in 30% of cases,","Abdominal pain is always the initial symptom,","The location of abdominal pain indicates the location of the obstruction,","Repeated and frequent vomiting temporarily relieves abdominal pain in small bowel obstructions,",The absence of gas is the primary functional sign for diagnosis
0,"M. M, aged 58, is referred to you for abnormalities in the iron status assessment. His medical history only notes diabetes diagnosed 3 months ago. On clinical examination, the temperature is 37.3°C. You note hepatomegaly evaluated at 5 cm below the right costal margin. His iron status assessment is presented below: transferrin saturation coefficient (TSC) at 62%, ferritin at 1200 ng/mL (normal 30 to 300 ng/mL). Among the following proposals, which of the following causes could explain the abnormalities in the iron status assessment presented in this clinical context?",Inflammatory syndrome,Dysmetabolic hepatosiderosis,Genetic hemochromatosis,Myelodysplasia,Macrophage activation syndrome
0,When admitting a polytrauma patient in severe hemorrhagic shock (one or more correct answers):,"A body scan is essential and must be performed urgently,","A FAST echo performed at the patient's bedside is sufficient to confirm hemoperitoneum,","An emergency laparotomy is indicated to confirm the abdominal origin of the hemorrhagic shock,","In case of massive hemoperitoneum, the ""damage control"" technique is the reference technique,","The ""damage control"" technique aims to control bleeding and treat digestive lesions at the same time"
0,"Mr. M., aged 22, presents to the emergency department with asthenia associated with a fever of 39°C that has been ongoing for 72 hours. He complains of odynophagia and diffuse myalgias. On physical examination, you find cervical adenopathies and splenomegaly of one fingerbreadth. A blood test was performed and shows the following results: hemoglobin 13.2 g/dL, MCV 89 fL, platelets 120 G/L, leukocytes 10.6 G/L, neutrophils 1.6 G/L, basophils 0.1 G/L, eosinophils 0.4 G/L, lymphocytes 8 G/L, monocytes 0.5 G/L. Blood smear: presence of numerous large lymphocytes with hyper-basophilic cytoplasm. Among the following additional tests, which one(s) seem appropriate to perform first in this clinical context?",Myelogram,Lymphocyte immunophenotyping,p24 antigenemia,MNI test,Cytomegalovirus (CMV) serology
0,"A patient presents with claudication at a distance evaluated at 400 meters, which manifests as pain in the right calf. On clinical examination, you note: the absence of edema in the lower limbs, the presence of all peripheral pulses in the left lower limb, the popliteal pulse is however ample and very easy to palpate, while on the right side only the femoral pulse is perceived, there is neither sensory nor motor disturbance in the lower limbs. Finally, you find a left iliac murmur. Which arterial lesion(s) should you suspect?","Left iliac occlusion,","Left iliac stenosis,","Left popliteal aneurysm,","Right iliac occlusion,",Right femoral occlusion
0,"Question: Regarding the murmur in mitral regurgitation, which of the following statement(s) is/are correct?",- It is mesosystolic ejection,- It is most often a blowing murmur,- It can be associated with a mesodiastolic rumble,- It is most often located at the apex and radiates to the axilla,- It radiates to the carotids
0,"In a clinical trial, the random assignment (randomization) of the treatment being evaluated is intended to:","Create comparable groups with respect to potential confounding factors,","Conclude a difference with a statistical significance threshold of 5%,","Mitigate sampling fluctuations,","Keep the subjects unaware of the allocated treatment throughout the study,",Reduce the number of subjects required
0,Measures of association that can be estimated in a cross-sectional etiological epidemiological study include:,"Incidence rate,","Odds ratio,","Mortality rate,","Prevalence,",Etiologic fraction
0,"In the following list of bacterial infections, which one(s) is(are) usually not associated with hyperleukocytosis?","Gram-negative hepatic abscess,","Acute pyelonephritis,","Typhoid fever,","Pneumococcal pulmonary infection,",Tuberculosis
0,"Question: Among the following parasitic diseases, which one(s) is(are) transmitted by skin contact (walking barefoot, swimming) with water or moist soil?","Amoebiasis,","Taeniasis,","Hydatidosis (echinococcosis),","Strongyloidiasis (anguillulosis),",Schistosomiasis (bilharziasis)
0,The medical certificate describing injuries secondary to violence: (one or more correct answers),"Must mention the psychological impact of the violence on the victim,","Can be given directly to a judicial police officer if the total incapacity to work is more than eight days,","Can be given directly to a third party provided they prove their relationship with the victim,","Is given to the holder of parental authority if the victim is a minor,",Allows for the medical verification of the victim's statements
0,"In the absence of a statistically significant difference in the primary outcome measure between the two groups in a prospective, randomized, placebo-controlled trial, one should consider:",The risk of type II statistical error (beta),The absence of treatment effect,A lack of statistical power,The non-inferiority of the evaluated treatment,The risk of type I statistical error (alpha)
0,"The association at autopsy of a recent, bilateral, and multifocal subdural hematoma and bilateral retinal hemorrhages in a 6-month-old baby with no particular history suggests the diagnosis of: (one or more correct answers)","Sudden infant death syndrome,","Shaken baby syndrome,","Silverman syndrome,","Rupture of cerebral arteriovenous malformation,",Accidental head trauma
0,"The administrative part of the death certificate, either electronically or on paper, is transmitted to: (one or more correct answers)","To the town hall of the place of death,","To the National Institute of Health and Medical Research (INSERM),","To the manager of the funeral home appointed by the family,","To the public prosecutor,",To the family of the deceased
0,The congenital long QT syndrome is an inherited rhythm disorder with autosomal dominant transmission that predisposes to sudden death from childhood and can be managed preventively. This pathology is very heterogeneous on a genetic level. Which statement(s) is/are correct:,"The genes involved code for ion channels,","Long QT syndrome is most often associated with a congenital heart malformation,","The genetic evaluation of this pathology is done by studying the karyotype,","The diagnosis in an index case should lead to information for the relatives,",Molecular predictive diagnosis is not authorized in a minor child in this situation
0,The writing of a descriptive medical certificate requires the evaluation of the ITT in the criminal sense of the term. What is the meaning of this acronym?,"Total incapacity to work,","Temporary total incapacity,","Total temporary incapacity,","Total incapacity to work,",Total temporary incapacity
